date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:47	46088/46088	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:43%20GMT	http://www.carquefou-football.com/le-club/actualites.html?start=60	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualitesc61e.html	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:49	53981/53981	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:46%20GMT	http://www.carquefou-football.com/le-club/actualites.html?start=80	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites4c62.html	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:52	50089/50089	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:48%20GMT	http://www.carquefou-football.com/le-club/actualites.html?start=100	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites27d2.html	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:55	50437/50437	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:49%20GMT	http://www.carquefou-football.com/le-club/actualites.html?start=120	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualitesb134.html	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:57	50325/50325	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:50%20GMT	http://www.carquefou-football.com/le-club/actualites.html?start=140	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites0803.html	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:57	48369/48369	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:52%20GMT	http://www.carquefou-football.com/le-club/actualites.html?start=160	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites3380.html	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:58	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:57%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.61.delayed	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:58	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.62.delayed	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:58	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.63.delayed	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:59	50110/50110	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:53%20GMT	http://www.carquefou-football.com/le-club/actualites.html?start=180	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites0dc3.html	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:59	30455/30455	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:56%20GMT	http://www.carquefou-football.com/le-club/actualites.html?start=640	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites2499.html	(from http://www.carquefou-football.com/le-club/actualites.html)
17:13:59	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.67.delayed	(from http://www.carquefou-football.com/le-club/presentation.html)
17:13:59	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.68.delayed	(from http://www.carquefou-football.com/le-club/presentation.html)
17:13:59	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.69.delayed	(from http://www.carquefou-football.com/le-club/presentation.html)
17:14:01	31336/31336	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:59%20GMT	http://www.carquefou-football.com/le-club/presentation/2-presentation-de-lusja-carquefou-football.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/presentation/2-presentation-de-lusja-carquefou-football.html	(from http://www.carquefou-football.com/le-club/presentation.html)
17:14:01	4183/4183	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2031%20Jan%202017%2016:14:00%20GMT	http://www.carquefou-football.com/le-club/le-mot-des-presidents.feed?type=rss	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/le-mot-des-presidentsdcab.feed	(from http://www.carquefou-football.com/le-club/le-mot-des-presidents.html)
17:14:01	15669/15669	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2031%20Jan%202017%2016:13:58%20GMT	http://www.carquefou-football.com/le-club/presentation.feed?type=rss	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/presentationdcab.feed	(from http://www.carquefou-football.com/le-club/presentation.html)
17:14:02	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.6c.delayed	(from http://www.carquefou-football.com/le-club/le-mot-des-presidents.html)
17:14:02	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.6d.delayed	(from http://www.carquefou-football.com/le-club/le-mot-des-presidents.html)
